id,name,mining_status,preminable,symbol
121,UtilityCoin,Not_minable,no,UTIL
124,BlackCoin,Not_minable,no,BC
125,Firecoin,Not_minable,no,FIRE
126,Boomcoin,Not_minable,no,BOOM
127,Ethercoin,Not_minable,no,ETC
128,Abundance2,Not_minable,no,ABC2
129,ShadowCash,Not_minable,no,SDC
130,SocialxBot,Not_minable,no,XBOT
131,CloakCoin,Not_minable,no,CLOAK
135,Dogeparty,Not_minable,no,XDP
136,Fibre,Not_minable,no,FIBRE
137,HyperStake,Not_minable,no,HYP
139,KoreCoin,Not_minable,no,KORE
140,Counterparty,Not_minable,no,XCP
141,InkWayCoin,Not_minable,no,LKNX
142,XCurrency,Not_minable,no,XC
143,Bitcoin Plus,Not_minable,no,XBC
144,Hyper,Not_minable,no,HYPER
146,KeyCoin,Not_minable,no,KEY
161,XCash,Not_minable,no,XCASH
162,PlutoniumCoin,Not_minable,no,RODS
164,Qibuck,Not_minable,no,QBK
165,SonicScrewdriver,Not_minable,no,SSD
166,BitSharesX,Not_minable,no,BTSX
167,Mastercoin,Not_minable,no,MSC
169,Halcyon,Not_minable,no,HAL
173,NuBits,Not_minable,no,NBT
175,Nxt,Not_minable,no,NXT
177,Aerocoin,Not_minable,no,AERO
178,MaryJane,Not_minable,no,MARYJ
179,BitSwift,Not_minable,no,SWIFT
180,VaultCoin,Not_minable,no,VAULT
182,Sync,Not_minable,no,SYNC
184,Umbrella-LTC,Not_minable,no,ULTC
186,BanxShares,Not_minable,no,BANX
189,ApexCoin,Not_minable,no,APEX
