id,name,symbol,price,available_suppy
2,CRTCoin,CRT,$0.08,71213
3,Copperlark,CLR,$0.01,8341299
4,Auroracoin,AUR,$0.05,1929590
5,SolarCoin,SLR,$0.01,33228631
6,CureCoin,CURE,$0.01,1568026
7,Startcoin,START,$0.08,3993235
8,X-Children,CHILD,$0.02,1272422
9,Lightspeed,LSD,$0.01,767911
10,MozzShare,MLS,$0.01,56072160
12,Boolberry,BBR,$0.12,25967
15,CannabisCoin,CANN,$0.04,91863135
16,Cannacoin,CCN,$0.04,3667464
18,Cryptogenic Bullion,CGB,$0.13,955276
19,QuazarCoin,QCN,$0.01,942032
20,CoinmarketsCoin,JBS,$0.01,3299469
22,CryptCoin,CRYPT,$0.01,5045661
23,AurumCoin,AU,$0.04,35733
24,Checkcoin,CKC,$0.01,14327330
25,LemurCoin,LMR,$0.08,100000
28,Acoin,ACOIN,$0.02,150530
29,Applecoin,APC,$0.01,21149605
30,Argentum,ARG,$0.01,1471853
31,BigBullion,BIG,$0.07,269280
32,BitShares PTS,PTS,$2.88,1760762
33,Primecoin,XPM,$0.20,7495849
34,Quark,QRK,$0.01,248304414
35,Quatloo,QTL,$0.02,2000086
36,Razor,RZR,$0.06,1999758
37,Riecoin,RIC,$0.01,7121275
38,SecureCoin,SRC,$0.02,2268625
39,TagCoin,TAG,$0.05,2071116
40,TEKcoin,TEK,$0.04,2875924
41,Terracoin,TRC,$0.03,6614136
43,Sterlingcoin,SLG,$0.01,1433583
44,UltraCoin,UTC,$0.02,21212867
45,UnionCoin,UNC,$0.01,8388608
46,Uro,URO,$0.89,873436
47,Vertcoin,VTC,$0.07,8774850
48,Viacoin,VIA,$0.07,11595270
51,BitBar,BTB,$2.12,14147
52,BitcoinDark,BTCD,$2.52,1188058
54,Blakecoin,BLC,$0.01,4233193
55,Darkcoin,DRK,$2.19,4756282
56,Functioncoin,FCC,$0.01,1177680
57,GoldCoin,GLD,$0.01,32782322
58,Gridcoin,GRC,$0.01,32529168
59,Ixcoin,IXC,$0.04,20999906
61,Latium,LAT,$0.02,Unknown
62,Librexcoin,LXC,$0.04,9748354
63,LitecoinDark,LTCD,$0.01,78476812
64,MaxCoin,MAX,$0.02,36679163
65,Monero,XMR,$0.97,4076538
66,NautilusCoin,NAUT,$0.05,5289253
67,NeosCoin,NEOS,$0.03,2158950
68,NoirShares,NRS,$0.01,2477481
69,Peercoin,PPC,$1.03,21814435
70,RonPaulCoin,RPC,$0.04,138263
72,Triangles,TRI,$0.19,49493
74,UnbreakableCoin,UNB,$0.01,1632650
76,VeriCoin,VRC,$0.03,26883278
77,WankCoin,WKC,$0.03,2957600
78,WorldCoin,WDC,$0.01,66038879
