id,symbol,price,circulating_Supply
1,BTC,8940.74,16855762
2,ETH,897.729,97520490.97
3,XRP,1.04149,39009215838
4,BCH,1353.04,16959137.5
5,ADA,0.448847,25927070538
6,LTC,165.179,55149608.15
7,XLM,0.436583,18432201441
8,NEO,119.082,65000000
9,EOS,9.92927,659381894.2
10,MIOTA,2.00956,2779530283
11,XEM,0.612945,8999999999
12,DASH,661.606,7875099.019
13,XMR,266.286,15704022.09
14,TRX,0.0540083,65748192476
15,LSK,29.8126,117906328
16,BTG,162.937,16815148.59
17,ETC,25.9893,99745273
18,QTUM,32.648,73870540
19,USDT,1.00543,2217140814
20,VEN,4.74301,466066219.3
21,ICX,4.5424,381495014
22,ZEC,495.511,3245581.25
23,OMG,13.3581,102042551.8
24,XRB,10.1666,133248289.2
25,PPT,34.1099,37004026.89
26,STEEM,4.54244,249190344.8
27,BNB,9.94735,99014000
28,BCN,0.00503942,1.84E+11
29,SNT,0.258703,3470483788
30,XVG,0.0594398,14577033186
31,STRAT,8.54648,98734594.23
32,SC,0.026016,32373876495
33,BTS,0.270801,2608420000
34,MKR,1114.15,618227.7701
35,AE,2.92771,233020472.1
36,REP,58.2838,11000000
37,WTC,25.2327,24898178
38,WAVES,6.09998,100000000
39,VERI,293.144,2036645.44
40,ZRX,1.16861,507171013.5
41,DOGE,0.00519463,1.13E+11
42,KCS,6.25142,91043076
43,HSR,13.0664,42604884.8
44,DGD,277.495,2000000
45,DCR,81.0426,6726246.682
46,ARDR,0.535571,998999495
47,RHOC,1.48076,344166288.9
48,KMD,4.64688,103185539.4
49,R,2.49945,184450000
50,KNC,3.39783,134132696.9
51,ARK,4.48229,100534890
52,ETN,0.0712286,6108845360
53,DCN,0.0012923,3.25E+11
54,GAS,42.5861,9678179.605
55,LRC,0.724081,561202251.4
56,DRGN,1.68333,238421940
57,BAT,0.395683,1000000000
58,DGB,0.0401137,9820342927
59,ZIL,0.0602724,6508988220
60,BTM,0.366793,987000000
61,ETHOS,4.67274,75601199.56
62,ZCL,107.54,3280300
63,PIVX,6.29676,55528928.73
64,GBYTE,535.269,645222.0529
65,QASH,0.971012,350000000
66,ELF,1.34187,250000000
67,NAS,8.86931,35500000
68,ECN,62.4938,4981227.32
69,PLR,1.34255,227384800
70,GNT,0.362285,834262000
71,IOST,0.0443995,6794109922
72,CNX,6.55827,45107180.46
73,DENT,0.0276866,10614760961
74,POWR,0.804256,363837588.9
75,SYS,0.55032,530845045.5
76,BTX,26.0974,11169012.13
77,GXS,4.798,60000000
78,CND,0.197434,1445976590
79,FUN,0.063348,4503688789
80,MONA,4.39713,57317674.89
81,SALT,4.75394,52976398.87
82,FCT,28.53,8745102
83,ENG,3.23589,74836171.09
84,AION,3.05032,79265734.91
85,SMART,0.351265,683930168.1
86,XP,0.00104333,2.14E+11
87,KIN,0.000294922,7.56E+11
88,XZC,54.0757,4070812.473
89,BNT,5.44119,39839397.88
90,PART,24.088,8866009.73
91,QSP,0.336968,617314170.8
92,NXT,0.20737,998999941.5
93,MAID,0.454956,452552412
94,AGI,0.446272,454443782
95,RDD,0.0070562,28740055495
96,IGNIS,0.261734,761143950
97,REQ,0.308788,641462768.6
98,PAY,1.74996,104661310
99,NXS,3.21578,55519476.98
100,XPA,0.177426,1000000000
101,SUB,0.78368,226091448.9
102,ICN,1.75138,99735686.88
103,EMC,4.04134,41283197.24
104,WAX,0.335732,492954537.4
105,XDN,0.0239648,6895457180
106,CVC,0.479509,342699966
107,NEBL,12.7556,12802640.57
108,GNO,147.777,1104590
109,LINK,0.456428,350000000
110,GAME,2.43749,64355352
111,HPB,6.93333,22216600
112,RDN,3.03538,50148936
113,PPP,1.8152,82500000
