ID,traded_currencies,percentage_of_market,source,price
Cryptsy - 42 Coin / Bitcoin,"42 Coin, Bitcoin",0.00%,Cryptsy,2330
SwissCEX - 42 Coin / Bitcoin,"42 Coin, Bitcoin",0.00%,SwissCEX,2016
Cryptsy - 42 Coin / Ripple,"42 Coin, Ripple",0.00%,Cryptsy,2151
Coin-Swap - 66 Coin / Bitcoin,"66 Coin, Bitcoin",0.00%,Coin-Swap,30.55
C-CEX - Abundance2 / Bitcoin,"Abundance2, Bitcoin",0.00%,C-CEX,0.02
Nxt Asset Exchange - ach / Nxt,"ach, Nxt",0.00%,Nxt Asset Exchange,0.02
Bittrex - Acoin / Bitcoin,"Acoin, Bitcoin",0.00%,Bittrex,0.02
Cryptsy - Acoin / Bitcoin,"Acoin, Bitcoin",0.00%,Cryptsy,0.02
Bittrex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Bittrex,0.81
Bleutrade - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Bleutrade,1.11
Coins-E - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Coins-E,0.79
Cryptex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Cryptex,1.23
Cryptsy - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Cryptsy,1.1
Vircurex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Vircurex,1.11
BTC - Anoncoin / Chinese Yuan,"Anoncoin, Chinese Yuan",0.07%,BTC,0.98
Cryptsy - Anoncoin / Litecoin,"Anoncoin, Litecoin",0.07%,Cryptsy,0.98
Cryptsy - Anoncoin / Ripple,"Anoncoin, Ripple",0.07%,Cryptsy,0.97
MasterXchange - APICoin / Bitcoin,"APICoin, Bitcoin",0.00%,MasterXchange,0.02
Poloniex - APICoin / Bitcoin,"APICoin, Bitcoin",0.00%,Poloniex,0.02
Bittrex - ARCHcoin / Bitcoin,"ARCHcoin, Bitcoin",0.06%,Bittrex,0.03
BTER - ARCHcoin / Bitcoin,"ARCHcoin, Bitcoin",0.06%,BTER,0.03
Bittrex - ARCoin / Bitcoin,"ARCoin, Bitcoin",0.00%,Bittrex,0.06
BTER - ATOMIC / Bitcoin,"ATOMIC, Bitcoin",0.00%,BTER,0.95
Nxt Asset Exchange - ATOMIC / Nxt,"ATOMIC, Nxt",0.00%,Nxt Asset Exchange,0.97
BTER - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,BTER,0.03
Coins-E - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Coins-E,0.02
Cryptsy - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Cryptsy,0.05
Poloniex - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Poloniex,0.05
Vircurex - Auroracoin / Bitcoin,"Auroracoin, Bitcoin",0.00%,Vircurex,0.05
Bittylicious - Auroracoin / British Pound,"Auroracoin, British Pound",0.00%,Bittylicious,0.25
Vault of Satoshi - Auroracoin / Canadian Dollars,"Auroracoin, Canadian Dollars",0.00%,Vault of Satoshi,0.21
Cryptsy - Auroracoin / Litecoin,"Auroracoin, Litecoin",0.00%,Cryptsy,0.05
Cryptsy - Auroracoin / Ripple,"Auroracoin, Ripple",0.00%,Cryptsy,0.05
AllCoin - AurumCoin / Bitcoin,"AurumCoin, Bitcoin",0.00%,AllCoin,0.04
C-CEX - AurumCoin / Bitcoin,"AurumCoin, Bitcoin",0.00%,C-CEX,0.08
BANX.IO - BanxShares / Bitcoin,"BanxShares, Bitcoin",0.00%,BANX.IO,0.84
C-CEX - BanxShares / Bitcoin,"BanxShares, Bitcoin",0.00%,C-CEX,0.84
Bittrex - BigBullion / Bitcoin,"BigBullion, Bitcoin",0.00%,Bittrex,0.07
BTER - BitBar / Bitcoin,"BitBar, Bitcoin",0.00%,BTER,2.29
Cryptsy - BitBar / Bitcoin,"BitBar, Bitcoin",0.00%,Cryptsy,2.07
BTER - BitBar / Chinese Yuan,"BitBar, Chinese Yuan",0.00%,BTER,2.12
BitShares Asset Exchange - BitBTC / BitSharesX,"BitBTC, BitSharesX",0.00%,BitShares Asset Exchange,380.81
BitShares Asset Exchange - BitCNY / BitSharesX,"BitCNY, BitSharesX",0.02%,BitShares Asset Exchange,0.16
BTER - BitCNY / Chinese Yuan,"BitCNY, Chinese Yuan",0.02%,BTER,0.16
BitcoinAverage - Bitcoin / British Pound,"Bitcoin, British Pound",78.46%,BitcoinAverage,395.95
BitcoinAverage - Bitcoin / Canadian Dollars,"Bitcoin, Canadian Dollars",78.46%,BitcoinAverage,386.54
BitcoinAverage - Bitcoin / Chinese Yuan,"Bitcoin, Chinese Yuan",78.46%,BitcoinAverage,381.97
BitcoinAverage - Bitcoin / Euro,"Bitcoin, Euro",78.46%,BitcoinAverage,384.61
BitcoinAverage - Bitcoin / Russian Ruble,"Bitcoin, Russian Ruble",78.46%,BitcoinAverage,396.92
BitcoinAverage - Bitcoin / US Dollar,"Bitcoin, US Dollar",78.46%,BitcoinAverage,381.39
Poloniex - Bitcoin Plus / Bitcoin,"Bitcoin Plus, Bitcoin",0.00%,Poloniex,0.91
AllCoin - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,AllCoin,2.57
Atomic Trade - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Atomic Trade,4.01
Bittrex - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Bittrex,2.52
BTER - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,BTER,2.6
Cryptsy - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Cryptsy,2.51
Poloniex - BitcoinDark / Bitcoin,"BitcoinDark, Bitcoin",0.04%,Poloniex,2.57
Poloniex - BitcoinDark / Monero,"BitcoinDark, Monero",0.04%,Poloniex,1.95
Cryptsy - BitcoinDark / Ripple,"BitcoinDark, Ripple",0.04%,Cryptsy,2.4
Cryptsy - Bitgem / Bitcoin,"Bitgem, Bitcoin",0.00%,Cryptsy,0.23
Bittrex - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Bittrex,0.41
Cryptsy - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Cryptsy,0.41
Poloniex - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Poloniex,0.42
BTC - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTC,2.87
BTER - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTER,2.84
Coins-E - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Coins-E,4.64
Cryptsy - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Cryptsy,2.81
Poloniex - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Poloniex,2.73
BTC - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTC,2.86
BTER - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTER,2.86
Yunbi - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,Yunbi,3.02
Bittrex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Bittrex,0.03
BTC - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTC,0.03
BTER - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTER,0.03
Crypto-Trade - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Crypto-Trade,0.27
Poloniex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Poloniex,0.03
BTC - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTC,0.03
BTER - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTER,0.03
Yunbi - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,Yunbi,0.03
BTER - BitSharesX / Nxt,"BitSharesX, Nxt",0.83%,BTER,0.02
Crypto-Trade - BitSharesX / US Dollar,"BitSharesX, US Dollar",0.83%,Crypto-Trade,0.03
Bittrex - BitSwift / Bitcoin,"BitSwift, Bitcoin",0.07%,Bittrex,0.14
BitShares Asset Exchange - BitUSD / BitSharesX,"BitUSD, BitSharesX",0.02%,BitShares Asset Exchange,0.99
BTER - BitUSD / US Dollar,"BitUSD, US Dollar",0.02%,BTER,0.97
AllCoin - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,AllCoin,0.04
Bittrex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Bittrex,0.04
BTER - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,BTER,0.04
Cryptsy - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Cryptsy,0.04
Melotic - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Melotic,0.04
Poloniex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Poloniex,0.04
