id,name,mining_status,preminable,symbol,market_capitalization,price,available_suppy,volume_17_oct_14
2,CRTCoin,Minable,premined,CRT,"$5,591",$0.08,71213,$247
3,Copperlark,Minable,premined,CLR,"$93,687",$0.01,8341299,"$2,752"
4,Auroracoin,Minable,premined,AUR,"$98,504",$0.05,1929590,"$1,530"
5,SolarCoin,Minable,premined,SLR,"$182,315",$0.01,33228631,"$3,116"
6,CureCoin,Minable,premined,CURE,"$19,659",$0.01,1568026,$37
7,Startcoin,Minable,premined,START,"$322,835",$0.08,3993235,"$7,175"
8,X-Children,Minable,,CHILD,"$21,010",$0.02,1272422,$91
9,Lightspeed,Minable,,LSD,"$6,248",$0.01,767911,$113
10,MozzShare,Minable,,MLS,"$397,279",$0.01,56072160,"$1,735"
12,Boolberry,Minable,,BBR,"$3,106",$0.12,25967,"$7,346"
15,CannabisCoin,Minable,,CANN,"$3,817,483",$0.04,91863135,"$108,370"
16,Cannacoin,Minable,,CCN,"$148,316",$0.04,3667464,"$14,859"
18,Cryptogenic Bullion,Minable,,CGB,"$119,758",$0.13,955276,$40
19,QuazarCoin,Minable,,QCN,"$9,724",$0.01,942032,$56
20,CoinmarketsCoin,Minable,,JBS,"$27,755",$0.01,3299469,$503
22,CryptCoin,Minable,,CRYPT,"$41,302",$0.01,5045661,$941
23,AurumCoin,Minable,,AU,"$1,526",$0.04,35733,$287
24,Checkcoin,Minable,,CKC,"$73,131",$0.01,14327330,"$1,485"
25,LemurCoin,Minable,,LMR,"$8,243",$0.08,100000,$213
28,Acoin,Minable,,ACOIN,"$3,168",$0.02,150530,$71
29,Applecoin,Minable,,APC,"$255,354",$0.01,21149605,"$2,906"
30,Argentum,Minable,,ARG,"$7,371",$0.01,1471853,$29
31,BigBullion,Minable,,BIG,"$19,052",$0.07,269280,$62
32,BitShares PTS,Minable,,PTS,"$5,065,466",$2.88,1760762,"$28,754"
33,Primecoin,Minable,,XPM,"$1,487,064",$0.20,7495849,"$23,524"
34,Quark,Minable,,QRK,"$1,661,700",$0.01,248304414,"$3,287"
35,Quatloo,Minable,,QTL,"$49,769",$0.02,2000086,"$2,916"
36,Razor,Minable,,RZR,"$124,505",$0.06,1999758,"$1,640"
37,Riecoin,Minable,,RIC,"$69,135",$0.01,7121275,$561
38,SecureCoin,Minable,,SRC,"$52,810",$0.02,2268625,$928
39,TagCoin,Minable,,TAG,"$96,751",$0.05,2071116,$230
40,TEKcoin,Minable,,TEK,"$121,309",$0.04,2875924,$372
